Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1033,Need for Speed Underground,XB,2003,Racing,Electronic Arts,1.09,0.55,0.0,0.07,1.7100000000000002
1034,Ben 10: Protector of Earth,DS,2007,Action,D3Publisher,0.69,0.83,0.0,0.19,1.71
1035,Star Ocean: Till The End of Time,PS2,2003,Role-Playing,Ubisoft,0.8,0.21,0.55,0.15,1.71
1036,The Sims 3: Late Night Expansion Pack,PC,2010,Simulation,Electronic Arts,0.59,0.87,0.0,0.25,1.71
1037,Game Party 3,Wii,2009,Puzzle,Warner Bros. Interactive Entertainment,1.43,0.16,0.0,0.12,1.71
1038,Toy Story 2: Buzz Lightyear to the Rescue!,PS,1998,Platform,Activision,0.99,0.64,0.0,0.08,1.71
1039,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Misc,Nintendo,0.0,0.0,1.71,0.0,1.71
1040,Deal or No Deal,DS,2007,Misc,Mindscape,1.15,0.41,0.0,0.15,1.7099999999999997
1041,Tetris Worlds,GBA,2001,Puzzle,THQ,1.25,0.39,0.0,0.06,1.7000000000000002
1042,WCW vs. nWo: World Tour,N64,1997,Fighting,THQ,1.37,0.28,0.03,0.02,1.7000000000000002
1043,Personal Trainer: Math,DS,2007,Puzzle,Nintendo,0.49,1.12,0.0,0.09,1.7000000000000002
1044,Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo,0.62,0.21,0.79,0.08,1.7000000000000002
1045,SOCOM 3: U.S. Navy SEALs,PS2,2005,Shooter,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.7000000000000002
1046,Cabela's Big Game Hunter 2010,Wii,2009,Sports,Activision Value,1.58,0.0,0.0,0.12,1.7000000000000002
1047,FIFA Soccer 10,PS2,2009,Sports,Electronic Arts,0.23,0.24,0.0,1.23,1.7
1048,Dragon Age: Origins,PS3,2009,Role-Playing,Electronic Arts,0.96,0.44,0.08,0.22,1.7
1049,Super Puyo Puyo,SNES,1993,Puzzle,Banpresto,0.0,0.0,1.69,0.01,1.7
1050,We Ski,Wii,2008,Sports,Namco Bandai Games,0.99,0.42,0.14,0.15,1.6999999999999997
1051,Star Wars Battlefront: Renegade Squadron,PSP,2007,Shooter,LucasArts,0.9,0.47,0.0,0.32,1.6900000000000002
1052,Jampack Winter '99,PS,1999,Misc,Sony Computer Entertainment,0.94,0.64,0.0,0.11,1.6900000000000002
1053,WCW/NWO Thunder,PS,1998,Fighting,THQ,1.1,0.48,0.04,0.07,1.6900000000000002
1054,Call of Duty Black Ops: Declassified,PSV,2012,Action,Activision,0.8,0.52,0.07,0.3,1.6900000000000002
1055,Dragon Ball Z: The Legacy of Goku,GBA,2002,Role-Playing,Infogrames,1.52,0.12,0.0,0.05,1.6900000000000002
1056,Harry Potter and the Sorcerer's Stone,GBA,2001,Action,Electronic Arts,0.87,0.66,0.08,0.08,1.6900000000000002
1057,LEGO Batman 2: DC Super Heroes,X360,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.64,0.0,0.15,1.69
1058,Sid Meier's Civilization V,PC,2010,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.19,1.69
1059,NCAA Football 07,PS2,2006,Sports,Electronic Arts,1.41,0.05,0.0,0.23,1.69
1060,FIFA 16,X360,2015,Sports,Electronic Arts,0.55,1.01,0.0,0.13,1.69
1061,Saints Row 2,PS3,2008,Action,THQ,0.88,0.54,0.02,0.25,1.69
1062,NBA 2K15,XOne,2014,Sports,Take-Two Interactive,1.36,0.18,0.0,0.15,1.69
1063,Saints Row IV,X360,2013,Action,Deep Silver,1.01,0.53,0.01,0.14,1.69
1064,Need For Speed: Undercover,X360,2008,Racing,Electronic Arts,0.79,0.71,0.01,0.18,1.69
1065,NFL GameDay 98,PS,1997,Sports,Sony Computer Entertainment,1.58,0.06,0.0,0.04,1.6800000000000002
1066,Time Crisis,PS,1997,Shooter,Namco Bandai Games,0.38,0.87,0.33,0.1,1.6800000000000002
1067,Yoshi's Cookie,GB,1992,Puzzle,Nintendo,0.59,0.24,0.82,0.03,1.68
1068,Resident Evil 4,GC,2005,Action,Capcom,0.98,0.42,0.22,0.06,1.68
1069,Metroid Fusion,GBA,2002,Action,Nintendo,1.18,0.27,0.17,0.06,1.68
1070,World Championship Poker: Featuring Howard Lederer - All In,PS2,2006,Misc,Oxygen Interactive,0.82,0.64,0.0,0.22,1.68
1071,Shaun White Snowboarding: Road Trip,Wii,2008,Sports,Ubisoft,0.94,0.57,0.0,0.17,1.6799999999999997
1072,Tony Hawk's Pro Skater 3,PS,2001,Sports,Activision,1.09,0.49,0.02,0.07,1.6700000000000002
1073,SSX 3,PS2,2003,Sports,Electronic Arts,0.93,0.52,0.0,0.22,1.6700000000000002
1074,"Monsters, Inc.",GBA,2001,Adventure,THQ,0.59,0.95,0.03,0.1,1.6700000000000002
1075,Madden NFL 2001,PS,2000,Sports,Electronic Arts,1.58,0.05,0.0,0.04,1.6700000000000002
1076,NCAA Football 2004,PS2,2003,Sports,Electronic Arts,1.35,0.09,0.0,0.23,1.6700000000000002
1077,PGR: Project Gotham Racing 2,XB,2003,Racing,Microsoft Game Studios,0.97,0.59,0.04,0.07,1.6700000000000002
1078,Fight Night Round 3,PS3,2006,Fighting,Electronic Arts,0.81,0.59,0.01,0.26,1.67
1079,Big Beach Sports,Wii,2008,Sports,THQ,0.45,1.02,0.0,0.2,1.67
1080,The Sims: Superstar,PC,2003,Simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.67
1081,Disney's DuckTales,NES,1989,Platform,Capcom,0.91,0.3,0.42,0.04,1.67
1082,MySims,Wii,2007,Simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.67
1083,Star Wars The Clone Wars: Lightsaber Duels,Wii,2008,Action,LucasArts,1.23,0.3,0.0,0.14,1.67
1084,Star Wars: Battlefront II,XB,2005,Shooter,Activision,1.22,0.39,0.0,0.06,1.67
1085,SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003,Platform,THQ,1.08,0.45,0.0,0.14,1.67
1086,Knack,PS4,2013,Platform,Sony Computer Entertainment Europe,0.43,0.67,0.42,0.15,1.67
1087,Spy Hunter,PS2,2001,Racing,Midway Games,1.13,0.32,0.0,0.22,1.67
1088,Dragon Ball Z: Budokai Tenkaichi,PS2,2005,Fighting,Atari,0.96,0.12,0.54,0.04,1.6600000000000001
1089,Ms. Pac-Man,2600,1981,Puzzle,Atari,1.54,0.1,0.0,0.02,1.6600000000000001
1090,Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.6600000000000001
1091,Need for Speed Carbon,X360,2006,Racing,Electronic Arts,0.76,0.7,0.02,0.18,1.66
1092,Heavenly Sword,PS3,2007,Action,Sony Computer Entertainment,0.57,0.73,0.06,0.3,1.66
1093,StarCraft II: Heart of the Swarm,PC,2013,Strategy,Activision,0.82,0.65,0.0,0.19,1.66
1094,Mario Party 6,GC,2004,Misc,Nintendo,0.9,0.11,0.6,0.05,1.66
1095,Army of Two,X360,2008,Shooter,Electronic Arts,1.09,0.38,0.02,0.16,1.6500000000000001
1096,Street Fighter II': Special Champion Edition,GEN,1992,Fighting,Sega,1.0,0.3,0.31,0.04,1.6500000000000001
1097,Go Vacation,Wii,2011,Misc,Namco Bandai Games,0.48,0.68,0.33,0.16,1.6500000000000001
1098,SSX,PS2,2000,Sports,Electronic Arts,0.78,0.61,0.06,0.2,1.6500000000000001
1099,Max Payne 3,X360,2012,Shooter,Take-Two Interactive,0.86,0.64,0.01,0.14,1.65
1100,NBA Ballers,PS2,2004,Sports,Midway Games,0.81,0.63,0.0,0.21,1.65
1101,NBA Live 2003,PS2,2002,Sports,Electronic Arts,1.25,0.15,0.03,0.22,1.65
1102,Dragon Quest V: Tenkuu no Hanayome,PS2,2004,Role-Playing,Enix Corporation,0.0,0.0,1.65,0.0,1.65
1103,Tiger Woods PGA Tour 2003,PS2,2002,Sports,Electronic Arts,0.8,0.63,0.0,0.21,1.6400000000000001
1104,Dragon Quest IV: Chapters of the Chosen,DS,2007,Role-Playing,Square Enix,0.32,0.02,1.27,0.03,1.6400000000000001
1105,Tom Clancy's Rainbow Six,PS,1999,Shooter,Red Storm Entertainment,0.93,0.63,0.0,0.08,1.6400000000000001
1106,Kirby & the Amazing Mirror,GBA,2004,Platform,Nintendo,0.8,0.05,0.76,0.03,1.6400000000000001
1107,Dig Dug,2600,1982,Puzzle,Atari,1.52,0.1,0.0,0.02,1.6400000000000001
1108,Kinectimals,X360,2010,Simulation,Microsoft Game Studios,1.02,0.48,0.0,0.14,1.6400000000000001
1109,NBA Live 06 (All region sales),PS2,2005,Sports,Electronic Arts,1.44,0.15,0.0,0.05,1.64
1110,LEGO Pirates of the Caribbean: The Video Game,Wii,2011,Action,Disney Interactive Studios,0.76,0.72,0.0,0.16,1.64
1111,Prince of Persia: Warrior Within,PS2,2004,Action,Ubisoft,0.54,0.88,0.0,0.22,1.64
1112,Super Scope 6,SNES,1991,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.64
1113,Ghosts 'n Goblins,NES,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64
1114,NCAA Football 2005,PS2,2004,Sports,Electronic Arts,1.32,0.09,0.0,0.22,1.6300000000000001
1115,ESPN NFL 2K5,XB,2004,Sports,Sega,1.54,0.02,0.0,0.07,1.6300000000000001
1116,Sonic Generations,PS3,2011,Platform,Sega,0.6,0.73,0.02,0.28,1.6300000000000001
1117,Pikmin,GC,2001,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.6300000000000001
1118,Tony Hawk's American Wasteland (Old all region sales),PS2,2005,Sports,Activision,0.8,0.63,0.01,0.19,1.6300000000000001
1119,Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.44,0.89,0.05,0.25,1.6300000000000001
1120,Just Cause 2,X360,2010,Action,Square Enix,0.59,0.85,0.02,0.17,1.63
1121,Viva Pinata,X360,2006,Simulation,Microsoft Game Studios,0.45,0.96,0.02,0.2,1.63
1122,Yu-Gi-Oh! Duel Monsters,GB,1998,Strategy,Konami Digital Entertainment,0.0,0.0,1.61,0.01,1.62
1123,Ape Escape,PS,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.62
1124,Sled Storm,PS,1998,Racing,Electronic Arts,0.9,0.61,0.0,0.11,1.62
1125,NBA 2K15,X360,2014,Sports,Take-Two Interactive,1.33,0.14,0.0,0.15,1.62
1126,Mario Hoops 3 on 3,DS,2006,Sports,Nintendo,0.99,0.04,0.49,0.1,1.62
1127,Tiger Woods PGA Tour 2004,PS2,2003,Sports,Electronic Arts,1.18,0.34,0.0,0.1,1.62
1128,NFL Street 2,PS2,2004,Sports,Electronic Arts,0.79,0.62,0.0,0.21,1.62
1129,Far Cry 4,XOne,2014,Shooter,Ubisoft,0.79,0.68,0.01,0.13,1.6100000000000003
1130,Gears of War: Judgment,X360,2013,Shooter,Microsoft Game Studios,0.92,0.53,0.03,0.13,1.6100000000000003
1131,Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo,0.8,0.38,0.3,0.13,1.6100000000000003
1132,Moshi Monsters: Moshling Zoo,DS,2011,Misc,Activision,0.4,0.99,0.0,0.22,1.61
1133,Baseball,GB,1989,Sports,Nintendo,0.66,0.27,0.65,0.03,1.61
1134,Kirby Air Ride,GC,2003,Racing,Nintendo,1.01,0.11,0.45,0.04,1.61
1135,SpongeBob's Atlantis SquarePantis,DS,2007,Action,THQ,1.5,0.0,0.0,0.11,1.61
1136,Rage,X360,2011,Shooter,Bethesda Softworks,0.82,0.61,0.03,0.15,1.6099999999999999
1137,Buzz! The Music Quiz,PS2,2005,Misc,Sony Computer Entertainment,0.0,1.18,0.0,0.43,1.6099999999999999
1138,Dollar Dash,PS2,2005,Action,Take-Two Interactive,1.3,0.23,0.0,0.07,1.6
1139,River Raid,2600,1981,Shooter,Activision,1.49,0.09,0.0,0.02,1.6
1140,Far Cry 2,X360,2008,Action,Ubisoft,0.71,0.69,0.02,0.18,1.5999999999999999
1141,No Man's Sky,PS4,2016,Action,Hello Games,0.58,0.74,0.02,0.26,1.5999999999999999
1142,Super Mario Strikers,GC,2005,Sports,Nintendo,0.98,0.38,0.2,0.04,1.5999999999999999
1143,Pro Evolution Soccer 2008,PS3,2007,Sports,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.5900000000000003
1144,Dragon Quest V: Hand of the Heavenly Bride,DS,2008,Role-Playing,Square Enix,0.19,0.02,1.36,0.02,1.59
1145,Diablo,PC,1996,Role-Playing,Activision,0.01,1.58,0.0,0.0,1.59
1146,F-1 World Grand Prix,N64,1998,Racing,Video System,0.46,0.96,0.09,0.08,1.59
1147,MySims Kingdom,DS,2008,Simulation,Electronic Arts,0.81,0.6,0.01,0.17,1.59
1148,Devil May Cry 4,PS3,2008,Action,Capcom,0.58,0.46,0.34,0.21,1.59
1149,Mario Bros.,2600,1982,Platform,Atari,1.48,0.09,0.0,0.02,1.59
1150,Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.59
1151,Sonic Heroes,GC,2003,Platform,Sega,1.05,0.44,0.06,0.04,1.59
1152,Silent Hill,PS,1999,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.59
1153,ESPN NBA 2K5,PS2,2004,Sports,Global Star,1.26,0.12,0.0,0.21,1.5899999999999999
1154,LEGO Harry Potter: Years 1-4,X360,2010,Action,Warner Bros. Interactive Entertainment,0.95,0.5,0.0,0.14,1.5899999999999999
1155,The Legend of Zelda: Twilight Princess,GC,2006,Action,Nintendo,1.15,0.36,0.04,0.04,1.5899999999999999
1156,Dance Dance Revolution: Hottest Party 2,Wii,2008,Simulation,Konami Digital Entertainment,0.95,0.48,0.01,0.15,1.5899999999999999
1157,Guitar Hero: On Tour Decades,DS,2008,Misc,Activision,0.85,0.58,0.0,0.16,1.5899999999999999
1158,Soul Edge,PS,1996,Fighting,Sony Computer Entertainment,0.61,0.41,0.46,0.1,1.58
1159,NASCAR 2000,PS,1999,Racing,Electronic Arts,0.88,0.6,0.0,0.1,1.58
1160,Spyro 2: Season of Flame,GBA,2002,Platform,Vivendi Games,0.85,0.65,0.0,0.08,1.58
1161,SoulCalibur IV,X360,2008,Fighting,Ubisoft,0.92,0.44,0.07,0.15,1.58
1162,Jampack Summer 2K,PS,2000,Misc,Sony Computer Entertainment,0.88,0.6,0.0,0.1,1.58
1163,Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.58,0.44,0.44,0.12,1.58
1164,Hannah Montana: Music Jam,DS,2007,Action,Disney Interactive Studios,1.06,0.37,0.0,0.15,1.58
1165,Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive,0.87,0.56,0.0,0.15,1.58
1166,Guitar Hero 5,Wii,2009,Misc,Activision,0.94,0.49,0.0,0.15,1.5799999999999998
1167,Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1.07,0.4,0.0,0.1,1.5700000000000003
1168,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.09,1.5700000000000003
1169,Conflict: Desert Storm,PS2,2002,Shooter,Gotham Games,0.98,0.53,0.0,0.06,1.57
1170,NCAA Football 2002,PS2,2001,Sports,Electronic Arts,0.77,0.6,0.0,0.2,1.57
1171,Smuggler's Run,PS2,2000,Racing,Take-Two Interactive,0.77,0.6,0.0,0.2,1.57
1172,High School Musical 3: Senior Year,DS,2008,Misc,Disney Interactive Studios,0.64,0.76,0.0,0.17,1.5699999999999998
1173,Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.79,0.44,0.19,0.14,1.56
1174,Dragon Quest Monsters 2,GB,2001,Role-Playing,Enix Corporation,0.0,0.0,1.56,0.0,1.56
1175,Twisted Metal,PS,1995,Action,Sony Computer Entertainment,1.32,0.19,0.0,0.05,1.56
1176,Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.58,0.44,0.33,0.21,1.56
1177,Final Fight,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03,1.56
1178,Mario Party 7,GC,2005,Misc,Nintendo,0.95,0.11,0.46,0.04,1.56
1179,Pro Evolution Soccer 2010,PS2,2009,Sports,Konami Digital Entertainment,0.1,0.18,0.12,1.16,1.56
1180,Donkey Kong Classics,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56
1181,Pro Evolution Soccer 2013,PS3,2012,Sports,Konami Digital Entertainment,0.18,0.64,0.49,0.25,1.56
1182,Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0.0,0.13,1.56
1183,LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21,1.5599999999999998
1184,BioShock 2,PS3,2010,Shooter,Take-Two Interactive,0.85,0.47,0.02,0.22,1.5599999999999998
1185,007: The World is not Enough,N64,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03,1.5599999999999998
1186,LEGO Battles: Ninjago,DS,2011,Strategy,Warner Bros. Interactive Entertainment,1.07,0.36,0.0,0.12,1.5500000000000003
1187,Dishonored,PS3,2012,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55
1188,Star Wars: The Force Unleashed II,PS3,2010,Action,LucasArts,0.8,0.53,0.0,0.22,1.55
1189,Stuntman,PS2,2002,Racing,Atari,0.76,0.59,0.0,0.2,1.55
1190,Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.71,0.22,0.52,0.1,1.55
1191,Spider-Man 2: Enter: Electro,PS,2001,Action,Activision,0.57,0.87,0.02,0.09,1.55
1192,Tom Clancy's Rainbow Six 3,XB,2003,Shooter,Ubisoft,0.91,0.57,0.0,0.07,1.55
1193,Command & Conquer: Tiberian Sun,PC,1999,Strategy,Westwood Studios,1.55,0.0,0.0,0.0,1.55
1194,Pokemon Pinball: Ruby & Sapphire,GBA,2003,Misc,Nintendo,0.68,0.38,0.44,0.05,1.55
1195,Ni no Kuni: Wrath of the White Witch,PS3,2011,Role-Playing,Namco Bandai Games,0.6,0.51,0.21,0.23,1.5499999999999998
1196,Mafia II,X360,2010,Action,Take-Two Interactive,0.84,0.56,0.0,0.15,1.5499999999999998
1197,Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54
1198,Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.5,0.24,0.11,1.54
1199,MVP Baseball 2005,PS2,2005,Sports,Electronic Arts,1.26,0.07,0.0,0.21,1.54
1200,Tom Clancy's Ghost Recon Advanced Warfighter,X360,2006,Shooter,Ubisoft,1.4,0.02,0.02,0.1,1.54
1201,Warcraft III: The Frozen Throne,PC,2003,Strategy,Activision,0.58,0.87,0.0,0.09,1.54
1202,Dark Cloud,PS2,2000,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,1.54
1203,Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.68,0.43,0.29,0.14,1.54
1204,Fight Night Round 4,PS3,2009,Fighting,Electronic Arts,0.92,0.41,0.0,0.21,1.54
1205,MySims Kingdom,Wii,2008,Simulation,Electronic Arts,0.71,0.65,0.01,0.17,1.5399999999999998
1206,Disney Fairies: Tinker Bell,DS,2008,Adventure,Disney Interactive Studios,0.86,0.52,0.01,0.15,1.5399999999999998
1207,Die Hard Trilogy,PS,1996,Shooter,Fox Interactive,0.85,0.58,0.0,0.1,1.53
1208,FIFA 17,XOne,2016,Sports,Electronic Arts,0.17,1.26,0.0,0.1,1.53
1209,Tiger Woods 99 PGA Tour Golf,PS,1997,Sports,Electronic Arts,0.85,0.58,0.0,0.1,1.53
1210,Mario Golf: Toadstool Tour,GC,2003,Sports,Nintendo,1.09,0.15,0.25,0.04,1.53
1211,Mortal Kombat 3,SNES,1994,Fighting,Acclaim Entertainment,1.19,0.29,0.0,0.05,1.53
1212,NFL GameDay 99,PS,1998,Sports,989 Studios,1.44,0.05,0.0,0.04,1.53
1213,NASCAR 99,PS,1998,Racing,Electronic Arts,1.45,0.04,0.0,0.04,1.53
1214,The Simpsons Skateboarding,PS2,2002,Sports,Electronic Arts,0.36,0.9,0.0,0.27,1.53
1215,The Simpsons Game,DS,2007,Action,Electronic Arts,0.57,0.79,0.0,0.17,1.5299999999999998
1216,Call of Duty: Black Ops II,PC,2012,Shooter,Activision,0.63,0.69,0.0,0.21,1.5299999999999998
1217,Super Monkey Ball 2,GC,2002,Puzzle,Atari,1.11,0.31,0.06,0.04,1.5200000000000002
1218,Call of Duty 3,PS3,2006,Shooter,Activision,0.6,0.63,0.03,0.26,1.52
1219,Call of Duty: Modern Warfare: Reflex Edition,Wii,2009,Shooter,Activision,0.95,0.43,0.0,0.14,1.52
1220,Knockout Kings,PS,1997,Fighting,Electronic Arts,1.07,0.39,0.0,0.06,1.52
1221,Xevious,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52
1222,F1 Race,NES,1984,Racing,Nintendo,0.0,0.0,1.52,0.0,1.52
1223,Football Manager 2012,PC,2011,Sports,Sega,0.02,1.16,0.0,0.34,1.52
1224,Mafia II,PS3,2010,Action,Take-Two Interactive,0.5,0.72,0.04,0.26,1.52
1225,Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.73,0.52,0.15,0.12,1.52
1226,Sonic Rivals 2,PSP,2007,Racing,Sega,0.44,0.69,0.0,0.39,1.52
1227,NASCAR 98,PS,1996,Racing,Electronic Arts,1.43,0.05,0.0,0.04,1.52
1228,Pac-Man World 2,PS2,2002,Action,Namco Bandai Games,1.26,0.05,0.0,0.21,1.52
1229,Dead Space 2,X360,2011,Shooter,Electronic Arts,0.94,0.45,0.0,0.13,1.52
1230,Madden NFL 15,XOne,2014,Sports,Electronic Arts,1.3,0.09,0.0,0.12,1.5100000000000002
1231,Puzzle & Dragons,3DS,2013,Role-Playing,GungHo,0.0,0.0,1.51,0.0,1.51
1232,NBA Live 98,PS,1997,Sports,Electronic Arts,1.41,0.06,0.0,0.04,1.51
1233,NBA Live 2000,PS,1998,Sports,Electronic Arts,1.43,0.05,0.0,0.03,1.51
1234,Mega Man 2,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51
1235,WWF No Mercy,N64,2000,Fighting,THQ,1.2,0.27,0.02,0.02,1.51
1236,Madden NFL 2001,PS2,2000,Sports,Electronic Arts,1.19,0.07,0.05,0.2,1.51
1237,The Simpsons Game,PS2,2007,Action,Electronic Arts,0.35,0.03,0.0,1.13,1.5099999999999998
1238,Sonic & Sega All-Stars Racing,Wii,2010,Racing,Sega,0.65,0.71,0.0,0.15,1.5099999999999998
1239,Final Fantasy XIV: A Realm Reborn,PC,2010,Role-Playing,Square Enix,0.86,0.48,0.0,0.17,1.5099999999999998
1240,LEGO Star Wars III: The Clone Wars,X360,2011,Action,LucasArts,0.84,0.54,0.0,0.13,1.5099999999999998
1241,Super Scribblenauts,DS,2010,Puzzle,Warner Bros. Interactive Entertainment,1.08,0.31,0.0,0.11,1.5000000000000002
1242,SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,0.99,0.32,0.11,0.08,1.5000000000000002
1243,Ice Climber,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5
1244,Final Fantasy: Crystal Chronicles,GC,2003,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.5
1245,Monopoly,PS,1997,Misc,Hasbro Interactive,1.18,0.27,0.0,0.05,1.5
1246,Red Faction II,PS2,2002,Shooter,THQ,0.49,0.78,0.0,0.23,1.5
1247,Simpsons Wrestling,PS,2001,Fighting,Electronic Arts,0.23,1.16,0.0,0.11,1.5
1248,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,1986,Platform,Hudson Soft,0.0,0.0,1.5,0.0,1.5
1249,Resistance 3,PS3,2011,Shooter,Sony Computer Entertainment,0.64,0.58,0.05,0.23,1.5
1250,NFL Blitz,PS,1998,Sports,Midway Games,1.41,0.05,0.0,0.04,1.5
1251,Sonic CD,SCD,1993,Platform,Sega,1.0,0.36,0.09,0.05,1.5
1252,Tokyo Xtreme Racer Zero,PS2,2000,Racing,Crave Entertainment,0.66,0.52,0.15,0.17,1.5
1253,Disney Sing It: Pop Hits,Wii,2009,Misc,Disney Interactive Studios,1.08,0.28,0.0,0.13,1.4900000000000002
1254,Pac-Man World,PS,1998,Action,Namco Bandai Games,1.21,0.14,0.1,0.04,1.4900000000000002
1255,Buzz! The BIG Quiz,PS2,2006,Misc,Sony Computer Entertainment,0.0,1.1,0.0,0.39,1.4900000000000002
1256,Dead Rising 2,X360,2010,Action,Capcom,0.75,0.53,0.09,0.12,1.4900000000000002
1257,Banjo-Tooie,N64,2000,Platform,Nintendo,0.82,0.36,0.25,0.06,1.49
1258,Bratz: Forever Diamondz,DS,2006,Adventure,THQ,0.43,0.88,0.0,0.18,1.49
1259,WWF WrestleMania 2000,N64,1999,Fighting,THQ,1.2,0.25,0.02,0.02,1.49
1260,Madden NFL 09,PS2,2008,Sports,Electronic Arts,1.22,0.0,0.0,0.27,1.49
1261,Medal of Honor: Frontline,XB,2002,Shooter,Electronic Arts,1.0,0.43,0.0,0.06,1.49
1262,Rock Band 2,PS3,2008,Misc,MTV Games,1.13,0.2,0.0,0.16,1.4899999999999998
1263,007: Quantum of Solace,X360,2008,Action,Activision,0.82,0.52,0.01,0.14,1.4899999999999998
1264,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,1.0,0.36,0.0,0.13,1.4899999999999998
1265,The Sims 3,Wii,2010,Simulation,Electronic Arts,0.61,0.73,0.0,0.15,1.4899999999999998
1266,Nintendo World Cup,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,1.4800000000000002
1267,Tom Clancy's Splinter Cell: Pandora Tomorrow,XB,2004,Action,Ubisoft,0.82,0.59,0.0,0.07,1.48
1268,Wario Land II,GB,1997,Platform,Nintendo,0.7,0.35,0.39,0.04,1.48
1269,Dirge of Cerberus: Final Fantasy VII,PS2,2006,Shooter,Square Enix,0.47,0.37,0.52,0.12,1.48
1270,Mass Effect 2,PS3,2011,Role-Playing,Electronic Arts,0.78,0.47,0.03,0.2,1.48
1271,Fight Night 2004,PS2,2004,Fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48
1272,New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo,0.37,0.69,0.28,0.14,1.48
1273,Imagine: Master Chef,DS,2007,Simulation,Ubisoft,0.39,0.92,0.0,0.17,1.48
1274,Xenogears,PS,1998,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.4700000000000002
1275,Star Wars: The Force Unleashed II,X360,2010,Action,LucasArts,0.95,0.4,0.0,0.12,1.4700000000000002
1276,Fight Night Round 3,X360,2006,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.4700000000000002
1277,Tom Clancy's Ghost Recon: Future Soldier,X360,2012,Shooter,Ubisoft,0.93,0.4,0.02,0.12,1.4700000000000002
1278,LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,0.4,0.72,0.02,0.33,1.4700000000000002
1279,Disney Princess,GBA,2003,Platform,THQ,1.04,0.37,0.0,0.06,1.4700000000000002
1280,Mario Golf,N64,1999,Action,Nintendo,0.62,0.18,0.65,0.02,1.4700000000000002
1281,Chrono Trigger,DS,2008,Role-Playing,Square Enix,0.69,0.2,0.49,0.09,1.47
1282,SoulCalibur IV,PS3,2008,Fighting,Ubisoft,0.72,0.41,0.14,0.2,1.47
